user_id,user_type,user_age_group,geographic_region,is_quebec_resident
USER_1604,Premium,25-34,London,FALSE
USER_1626,Free,45+,Los Angeles,FALSE
USER_1630,Free,45+,Toronto,FALSE
USER_1645,Premium,18-24,Montreal,TRUE
USER_1648,Premium,45+,New York City,FALSE
USER_1673,Premium,25-34,Toronto,FALSE
USER_1679,Premium,45+,New York City,FALSE
USER_1683,Free,45+,Toronto,FALSE
USER_1686,Premium,18-24,Los Angeles,FALSE
USER_1705,Free,45+,London,FALSE
USER_1710,Premium,18-24,Montreal,TRUE
USER_1753,Free,35-44,Toronto,FALSE
USER_1772,Premium,45+,Toronto,FALSE
USER_1784,Premium,25-34,Vancouver,FALSE
USER_1786,Free,35-44,Vancouver,FALSE
USER_1789,Premium,35-44,New York City,FALSE
USER_1796,Premium,35-44,Los Angeles,FALSE
USER_1798,Premium,35-44,Toronto,FALSE
USER_1800,Premium,45+,London,FALSE
USER_1816,Premium,35-44,Toronto,FALSE
USER_1818,Free,45+,London,FALSE
USER_1831,Free,45+,New York City,FALSE
USER_1846,Free,18-24,New York City,FALSE
USER_1868,Premium,45+,Los Angeles,FALSE
USER_1874,Free,45+,Los Angeles,FALSE
USER_1883,Free,18-24,London,FALSE
USER_1896,Free,45+,Montreal,TRUE
USER_1900,Premium,45+,Los Angeles,FALSE
USER_1902,Free,35-44,Vancouver,FALSE
USER_1906,Free,45+,Los Angeles,FALSE
USER_1914,Premium,35-44,Los Angeles,FALSE
USER_1924,Premium,45+,Los Angeles,FALSE
USER_1925,Free,35-44,Los Angeles,FALSE
USER_1927,Premium,45+,Los Angeles,FALSE
USER_1928,Premium,25-34,New York City,FALSE
USER_1931,Premium,45+,Vancouver,FALSE
USER_1934,Premium,25-34,Vancouver,FALSE
USER_1947,Free,45+,Montreal,TRUE
USER_1967,Premium,25-34,Montreal,TRUE
USER_1973,Free,45+,New York City,FALSE
USER_1982,Free,35-44,Los Angeles,FALSE
USER_1987,Premium,45+,Los Angeles,FALSE
USER_1989,Premium,35-44,London,FALSE
USER_1999,Free,45+,Montreal,TRUE
USER_2006,Premium,45+,Montreal,TRUE
USER_2008,Free,45+,Toronto,FALSE
USER_2014,Free,35-44,Toronto,FALSE
USER_2034,Premium,18-24,Montreal,TRUE
USER_2041,Premium,45+,New York City,FALSE
USER_2063,Premium,18-24,New York City,FALSE
USER_2069,Premium,45+,Vancouver,FALSE
USER_2078,Free,45+,New York City,FALSE
USER_2102,Free,35-44,London,FALSE
USER_2111,Premium,45+,Montreal,TRUE
USER_2127,Premium,45+,Montreal,TRUE
USER_2140,Premium,45+,Los Angeles,FALSE
USER_2211,Free,45+,New York City,FALSE
USER_2218,Premium,45+,Los Angeles,FALSE
USER_2222,Free,25-34,Vancouver,FALSE
USER_2251,Premium,18-24,Los Angeles,FALSE
USER_2260,Free,45+,Los Angeles,FALSE
USER_2272,Premium,45+,New York City,FALSE
USER_2275,Premium,45+,Toronto,FALSE
USER_2279,Free,35-44,Toronto,FALSE
USER_2282,Free,35-44,Toronto,FALSE
USER_2292,Premium,35-44,Toronto,FALSE
USER_2294,Free,35-44,Toronto,FALSE
USER_2297,Premium,35-44,Toronto,FALSE
USER_2304,Free,25-34,New York City,FALSE
USER_2312,Free,45+,New York City,FALSE
USER_2326,Premium,35-44,Toronto,FALSE
USER_2336,Premium,25-34,Montreal,TRUE
USER_2348,Free,35-44,London,FALSE
USER_2354,Premium,45+,Los Angeles,FALSE
USER_2372,Free,45+,Montreal,TRUE
USER_2378,Free,35-44,Los Angeles,FALSE
USER_2383,Free,35-44,Montreal,TRUE
USER_2384,Free,35-44,Montreal,TRUE
USER_2397,Free,25-34,Montreal,TRUE
USER_2406,Free,35-44,Vancouver,FALSE
USER_2412,Free,25-34,Montreal,TRUE
USER_2423,Free,45+,London,FALSE
USER_2424,Premium,45+,London,FALSE
USER_2438,Free,45+,Montreal,TRUE
USER_2445,Free,45+,New York City,FALSE
USER_2446,Premium,45+,Montreal,TRUE
USER_2448,Premium,45+,Toronto,FALSE
USER_2461,Free,35-44,New York City,FALSE
USER_2465,Free,18-24,Montreal,TRUE
USER_2470,Free,45+,Toronto,FALSE
USER_2482,Free,35-44,Vancouver,FALSE
USER_2495,Free,35-44,Los Angeles,FALSE
USER_2508,Premium,35-44,Montreal,TRUE
USER_2534,Free,25-34,Montreal,TRUE
USER_2535,Premium,45+,Vancouver,FALSE
USER_2537,Premium,25-34,Montreal,TRUE
USER_2541,Free,25-34,Los Angeles,FALSE
USER_2562,Free,45+,London,FALSE
USER_2567,Premium,25-34,Vancouver,FALSE
USER_2568,Free,25-34,Los Angeles,FALSE
USER_2580,Free,35-44,London,FALSE
USER_2593,Premium,45+,London,FALSE
USER_2598,Premium,35-44,Vancouver,FALSE
USER_2599,Premium,45+,Vancouver,FALSE
USER_2604,Premium,45+,Los Angeles,FALSE
USER_2608,Premium,45+,Los Angeles,FALSE
USER_2626,Free,45+,New York City,FALSE
USER_2644,Premium,45+,Vancouver,FALSE
USER_2676,Free,45+,Vancouver,FALSE
USER_2679,Free,45+,Los Angeles,FALSE
USER_2680,Premium,35-44,Toronto,FALSE
USER_2686,Free,45+,Los Angeles,FALSE
USER_2691,Free,18-24,London,FALSE
USER_2704,Premium,25-34,Toronto,FALSE
USER_2712,Free,25-34,London,FALSE
USER_2723,Free,25-34,Toronto,FALSE
USER_2735,Premium,45+,London,FALSE
USER_2766,Free,25-34,Vancouver,FALSE
USER_2780,Free,45+,New York City,FALSE
USER_2806,Free,35-44,Toronto,FALSE
USER_2812,Premium,25-34,Los Angeles,FALSE
USER_2813,Premium,45+,London,FALSE
USER_2819,Free,45+,London,FALSE
USER_2861,Free,45+,Vancouver,FALSE
USER_2871,Premium,45+,New York City,FALSE
USER_2884,Premium,25-34,Montreal,TRUE
USER_2891,Premium,25-34,Montreal,TRUE
USER_2895,Premium,45+,New York City,FALSE
USER_2930,Premium,25-34,Vancouver,FALSE
USER_2932,Free,18-24,Los Angeles,FALSE
USER_2940,Premium,25-34,Montreal,TRUE
USER_2949,Premium,35-44,New York City,FALSE
USER_2951,Free,45+,Los Angeles,FALSE
USER_2956,Premium,45+,Toronto,FALSE
USER_2960,Free,45+,Toronto,FALSE
USER_2970,Premium,45+,London,FALSE
USER_2974,Free,25-34,Los Angeles,FALSE
USER_2979,Premium,35-44,Vancouver,FALSE
USER_2981,Free,35-44,New York City,FALSE
USER_2985,Free,35-44,London,FALSE
USER_2998,Free,45+,Montreal,TRUE
USER_2999,Free,35-44,New York City,FALSE
USER_3003,Premium,45+,Montreal,TRUE
USER_3013,Premium,18-24,London,FALSE
USER_3036,Premium,18-24,Vancouver,FALSE
USER_3056,Premium,18-24,Los Angeles,FALSE
USER_3065,Premium,45+,New York City,FALSE
USER_3082,Free,45+,New York City,FALSE
USER_3101,Premium,25-34,Toronto,FALSE
USER_3106,Premium,45+,Vancouver,FALSE
USER_3107,Free,45+,Vancouver,FALSE
USER_3116,Free,25-34,Vancouver,FALSE
USER_3121,Premium,45+,Montreal,TRUE
USER_3124,Free,35-44,London,FALSE
USER_3126,Premium,45+,Vancouver,FALSE
USER_3133,Free,45+,Los Angeles,FALSE
USER_3141,Free,35-44,London,FALSE
USER_3144,Premium,45+,Toronto,FALSE
USER_3155,Premium,45+,New York City,FALSE
USER_3162,Premium,35-44,Montreal,TRUE
USER_3163,Premium,35-44,Los Angeles,FALSE
USER_3167,Premium,35-44,Toronto,FALSE
USER_3174,Free,45+,Los Angeles,FALSE
USER_3179,Free,45+,Vancouver,FALSE
USER_3186,Free,35-44,New York City,FALSE
USER_3211,Premium,18-24,Toronto,FALSE
USER_3218,Free,35-44,Montreal,TRUE
USER_3244,Free,35-44,London,FALSE
USER_3245,Free,18-24,Los Angeles,FALSE
USER_3250,Premium,45+,Montreal,TRUE
USER_3252,Premium,45+,Toronto,FALSE
USER_3263,Free,45+,London,FALSE
USER_3268,Premium,45+,London,FALSE
USER_3269,Premium,35-44,New York City,FALSE
USER_3307,Free,45+,Los Angeles,FALSE
USER_3322,Free,35-44,New York City,FALSE
USER_3328,Free,45+,New York City,FALSE
USER_3335,Free,45+,Toronto,FALSE
USER_3340,Free,25-34,Montreal,TRUE
USER_3371,Free,45+,Toronto,FALSE
USER_3378,Premium,18-24,Toronto,FALSE
USER_3388,Free,45+,New York City,FALSE
USER_3401,Free,18-24,Toronto,FALSE
USER_3413,Premium,35-44,New York City,FALSE
USER_3444,Premium,25-34,Toronto,FALSE
USER_3447,Free,35-44,Montreal,TRUE
USER_3457,Premium,45+,London,FALSE
USER_3460,Premium,45+,New York City,FALSE
USER_3466,Free,45+,New York City,FALSE
USER_3472,Premium,45+,London,FALSE
USER_3488,Premium,45+,Los Angeles,FALSE
USER_3502,Premium,45+,New York City,FALSE
USER_3506,Premium,45+,London,FALSE
USER_3510,Premium,45+,Montreal,TRUE
USER_3514,Premium,35-44,New York City,FALSE
USER_3522,Free,35-44,Montreal,TRUE
USER_3530,Free,35-44,Los Angeles,FALSE
USER_3538,Premium,35-44,Vancouver,FALSE
USER_3545,Premium,45+,Montreal,TRUE
USER_3551,Free,35-44,Montreal,TRUE
USER_3562,Free,45+,Montreal,TRUE
USER_3566,Free,35-44,Toronto,FALSE
USER_3567,Free,18-24,New York City,FALSE
USER_3571,Free,25-34,London,FALSE
USER_3581,Premium,45+,Toronto,FALSE
USER_3582,Premium,35-44,London,FALSE
USER_3592,Free,45+,New York City,FALSE
USER_3618,Premium,45+,New York City,FALSE
USER_3635,Free,45+,Vancouver,FALSE
USER_3640,Premium,45+,London,FALSE
USER_3649,Premium,45+,Montreal,TRUE
USER_3663,Free,35-44,New York City,FALSE
USER_3697,Premium,45+,Toronto,FALSE
USER_3703,Premium,25-34,Toronto,FALSE
USER_3709,Free,18-24,Vancouver,FALSE
USER_3725,Premium,45+,Montreal,TRUE
USER_3726,Premium,25-34,Los Angeles,FALSE
USER_3744,Free,35-44,New York City,FALSE
USER_3751,Free,45+,Toronto,FALSE
USER_3764,Premium,35-44,London,FALSE
USER_3765,Premium,35-44,Toronto,FALSE
USER_3779,Premium,25-34,Montreal,TRUE
USER_3780,Premium,45+,London,FALSE
USER_3787,Premium,45+,Toronto,FALSE
USER_3792,Premium,25-34,Los Angeles,FALSE
USER_3799,Premium,45+,Toronto,FALSE
USER_3803,Premium,35-44,Los Angeles,FALSE
USER_3809,Premium,35-44,Montreal,TRUE
USER_3828,Premium,35-44,Toronto,FALSE
USER_3855,Premium,35-44,London,FALSE
USER_3879,Free,35-44,New York City,FALSE
USER_3887,Premium,45+,London,FALSE
USER_3888,Premium,45+,London,FALSE
USER_3892,Free,35-44,Los Angeles,FALSE
USER_3898,Premium,35-44,New York City,FALSE
USER_3907,Premium,35-44,Toronto,FALSE
USER_3916,Premium,45+,Los Angeles,FALSE
USER_3927,Free,35-44,New York City,FALSE
USER_3942,Free,35-44,Montreal,TRUE
USER_3958,Free,35-44,London,FALSE
USER_3961,Premium,45+,Toronto,FALSE
USER_3962,Premium,25-34,Montreal,TRUE
USER_3968,Free,45+,Vancouver,FALSE
USER_3971,Premium,25-34,Los Angeles,FALSE
USER_3976,Premium,35-44,Vancouver,FALSE
USER_4003,Free,25-34,Vancouver,FALSE
USER_4030,Free,25-34,London,FALSE
USER_4044,Free,25-34,Vancouver,FALSE
USER_4045,Premium,45+,Toronto,FALSE
USER_4046,Free,25-34,Montreal,TRUE
USER_4049,Premium,45+,Toronto,FALSE
USER_4052,Premium,45+,London,FALSE
USER_4057,Premium,45+,Los Angeles,FALSE
USER_4063,Premium,18-24,Toronto,FALSE
USER_4071,Premium,35-44,Los Angeles,FALSE
USER_4082,Free,45+,Los Angeles,FALSE
USER_4085,Premium,18-24,Montreal,TRUE
USER_4086,Premium,35-44,London,FALSE
USER_4157,Premium,45+,London,FALSE
USER_4165,Free,45+,Toronto,FALSE
USER_4174,Premium,45+,London,FALSE
USER_4188,Free,18-24,Vancouver,FALSE
USER_4189,Free,45+,London,FALSE
USER_4201,Premium,18-24,Vancouver,FALSE
USER_4230,Free,45+,New York City,FALSE
USER_4260,Free,25-34,Vancouver,FALSE
USER_4261,Premium,45+,New York City,FALSE
USER_4292,Premium,45+,New York City,FALSE
USER_4321,Premium,45+,London,FALSE
USER_4355,Premium,45+,Los Angeles,FALSE
USER_4363,Free,45+,Los Angeles,FALSE
USER_4370,Free,35-44,Vancouver,FALSE
USER_4383,Premium,35-44,New York City,FALSE
USER_4387,Premium,45+,New York City,FALSE
USER_4424,Premium,45+,Montreal,TRUE
USER_4430,Premium,45+,London,FALSE
USER_4431,Premium,35-44,Toronto,FALSE
USER_4451,Free,35-44,New York City,FALSE
USER_4461,Free,35-44,Montreal,TRUE
USER_4507,Premium,45+,London,FALSE
USER_4511,Free,35-44,Vancouver,FALSE
USER_4512,Free,35-44,Montreal,TRUE
USER_4514,Premium,45+,Toronto,FALSE
USER_4517,Premium,45+,New York City,FALSE
USER_4519,Premium,25-34,Montreal,TRUE
USER_4522,Free,45+,New York City,FALSE
USER_4526,Premium,18-24,Los Angeles,FALSE
USER_4540,Free,35-44,Toronto,FALSE
USER_4545,Premium,45+,Vancouver,FALSE
USER_4555,Premium,45+,Toronto,FALSE
USER_4564,Premium,45+,Toronto,FALSE
USER_4574,Free,35-44,London,FALSE
USER_4584,Premium,25-34,Los Angeles,FALSE
USER_4589,Free,45+,New York City,FALSE
USER_4590,Premium,45+,Vancouver,FALSE
USER_4596,Premium,45+,Montreal,TRUE
USER_4603,Free,35-44,Los Angeles,FALSE
USER_4604,Premium,45+,Montreal,TRUE
USER_4617,Free,45+,Toronto,FALSE
USER_4618,Free,45+,Toronto,FALSE
USER_4621,Free,45+,London,FALSE
USER_4633,Premium,45+,Vancouver,FALSE
USER_4648,Free,45+,Los Angeles,FALSE
USER_4657,Premium,45+,New York City,FALSE
USER_4661,Free,25-34,New York City,FALSE
USER_4669,Free,25-34,Montreal,TRUE
USER_4678,Premium,35-44,London,FALSE
USER_4686,Premium,25-34,Toronto,FALSE
USER_4690,Free,25-34,New York City,FALSE
USER_4705,Free,45+,Toronto,FALSE
USER_4715,Free,25-34,Montreal,TRUE
USER_4721,Premium,35-44,Los Angeles,FALSE
USER_4724,Premium,35-44,London,FALSE
USER_4727,Free,45+,Los Angeles,FALSE
USER_4737,Free,45+,Toronto,FALSE
USER_4748,Premium,45+,London,FALSE
USER_4763,Free,35-44,Vancouver,FALSE
USER_4768,Free,45+,Toronto,FALSE
USER_4770,Premium,45+,Los Angeles,FALSE
USER_4775,Free,45+,Los Angeles,FALSE
USER_4776,Free,45+,London,FALSE
USER_4778,Premium,25-34,London,FALSE
USER_4790,Premium,18-24,Montreal,TRUE
USER_4794,Free,45+,Montreal,TRUE
USER_4798,Premium,35-44,Vancouver,FALSE
USER_4813,Premium,45+,Vancouver,FALSE
USER_4831,Free,45+,Montreal,TRUE
USER_4833,Premium,45+,London,FALSE
USER_4855,Free,25-34,Vancouver,FALSE
USER_4857,Free,35-44,Vancouver,FALSE
USER_4859,Premium,35-44,Montreal,TRUE
USER_4867,Premium,25-34,New York City,FALSE
USER_4868,Premium,35-44,Los Angeles,FALSE
USER_4869,Free,45+,Toronto,FALSE
USER_4882,Premium,25-34,Los Angeles,FALSE
USER_4889,Premium,18-24,London,FALSE
USER_4905,Free,35-44,New York City,FALSE
USER_4906,Premium,25-34,London,FALSE
USER_4920,Premium,45+,Vancouver,FALSE
USER_4922,Premium,45+,Vancouver,FALSE
USER_4928,Premium,18-24,Toronto,FALSE
USER_4942,Premium,45+,London,FALSE
USER_4945,Premium,35-44,Toronto,FALSE
USER_4951,Free,35-44,Los Angeles,FALSE
USER_4952,Premium,45+,Montreal,TRUE
USER_4967,Premium,45+,Los Angeles,FALSE
USER_4976,Premium,45+,Los Angeles,FALSE
USER_4984,Premium,35-44,London,FALSE
USER_4992,Free,45+,Toronto,FALSE
USER_4995,Premium,35-44,New York City,FALSE
USER_4998,Premium,18-24,London,FALSE
USER_5000,Premium,45+,Vancouver,FALSE
USER_0016,Free,18-24,London,FALSE
USER_0042,Free,18-24,Toronto,FALSE
USER_0059,Free,25-34,London,FALSE
USER_0061,Premium,18-24,Montreal,TRUE
USER_0062,Premium,25-34,London,FALSE
USER_0082,Premium,18-24,Los Angeles,FALSE
USER_0085,Premium,18-24,Los Angeles,FALSE
USER_0098,Premium,18-24,London,FALSE
USER_0099,Free,18-24,Vancouver,FALSE
USER_0102,Free,25-34,Los Angeles,FALSE
USER_0105,Free,18-24,London,FALSE
USER_0108,Free,25-34,Toronto,FALSE
USER_0159,Free,18-24,London,FALSE
USER_0160,Premium,25-34,Montreal,TRUE
USER_0163,Premium,35-44,London,FALSE
USER_0164,Free,18-24,New York City,FALSE
USER_0171,Premium,25-34,Vancouver,FALSE
USER_0179,Free,25-34,Montreal,TRUE
USER_0182,Premium,18-24,Toronto,FALSE
USER_0185,Free,18-24,Toronto,FALSE
USER_0205,Premium,18-24,London,FALSE
USER_0241,Premium,18-24,New York City,FALSE
USER_0243,Free,18-24,Los Angeles,FALSE
USER_0247,Free,45+,Montreal,TRUE
USER_0254,Free,18-24,London,FALSE
USER_0257,Premium,25-34,Montreal,TRUE
USER_0260,Premium,25-34,Los Angeles,FALSE
USER_0264,Premium,18-24,London,FALSE
USER_0273,Free,25-34,New York City,FALSE
USER_0276,Premium,25-34,Montreal,TRUE
USER_0289,Premium,18-24,London,FALSE
USER_0296,Free,35-44,New York City,FALSE
USER_0308,Premium,25-34,London,FALSE
USER_0309,Free,35-44,New York City,FALSE
USER_0327,Premium,35-44,Montreal,TRUE
USER_0334,Premium,25-34,Vancouver,FALSE
USER_0336,Premium,25-34,Toronto,FALSE
USER_0348,Premium,25-34,Vancouver,FALSE
USER_0353,Premium,35-44,Montreal,TRUE
USER_0361,Free,18-24,Vancouver,FALSE
USER_0387,Free,18-24,New York City,FALSE
USER_0399,Premium,18-24,Los Angeles,FALSE
USER_0409,Premium,18-24,Toronto,FALSE
USER_0410,Free,45+,Los Angeles,FALSE
USER_0419,Premium,18-24,Los Angeles,FALSE
USER_0420,Free,18-24,Los Angeles,FALSE
USER_0423,Free,18-24,Toronto,FALSE
USER_0427,Free,18-24,New York City,FALSE
USER_0439,Premium,35-44,Toronto,FALSE
USER_0440,Free,25-34,Montreal,TRUE
USER_0450,Free,25-34,Los Angeles,FALSE
USER_0451,Free,18-24,London,FALSE
USER_0470,Free,35-44,New York City,FALSE
USER_0471,Premium,18-24,Los Angeles,FALSE
USER_0479,Premium,18-24,Vancouver,FALSE
USER_0484,Free,25-34,Toronto,FALSE
USER_0529,Premium,45+,London,FALSE
USER_0530,Premium,18-24,Vancouver,FALSE
USER_0533,Free,18-24,Montreal,TRUE
USER_0551,Premium,18-24,Vancouver,FALSE
USER_0563,Free,35-44,Los Angeles,FALSE
USER_0564,Premium,35-44,Los Angeles,FALSE
USER_0566,Free,18-24,Montreal,TRUE
USER_0572,Free,25-34,Los Angeles,FALSE
USER_0576,Premium,45+,Montreal,TRUE
USER_0607,Free,18-24,Los Angeles,FALSE
USER_0629,Premium,45+,Los Angeles,FALSE
USER_0630,Free,18-24,Montreal,TRUE
USER_0634,Free,45+,New York City,FALSE
USER_0637,Free,18-24,Vancouver,FALSE
USER_0641,Free,25-34,Vancouver,FALSE
USER_0643,Premium,18-24,New York City,FALSE
USER_0646,Free,45+,Vancouver,FALSE
USER_0665,Free,18-24,Vancouver,FALSE
USER_0685,Premium,35-44,Los Angeles,FALSE
USER_0695,Free,18-24,Los Angeles,FALSE
USER_0713,Free,18-24,Montreal,TRUE
USER_0720,Free,25-34,Toronto,FALSE
USER_0726,Premium,35-44,Montreal,TRUE
USER_0739,Premium,25-34,Los Angeles,FALSE
USER_0742,Free,25-34,Los Angeles,FALSE
USER_0761,Premium,35-44,Montreal,TRUE
USER_0787,Premium,25-34,Vancouver,FALSE
USER_0790,Free,25-34,Toronto,FALSE
USER_0799,Free,18-24,London,FALSE
USER_0820,Premium,25-34,Vancouver,FALSE
USER_0827,Free,18-24,New York City,FALSE
USER_0832,Premium,18-24,Toronto,FALSE
USER_0840,Premium,25-34,New York City,FALSE
USER_0847,Free,35-44,Montreal,TRUE
USER_0851,Free,18-24,Toronto,FALSE
USER_0868,Premium,45+,Toronto,FALSE
USER_0897,Premium,35-44,Toronto,FALSE
USER_0907,Premium,18-24,Toronto,FALSE
USER_0945,Premium,25-34,Vancouver,FALSE
USER_0954,Free,18-24,Toronto,FALSE
USER_0961,Premium,45+,Vancouver,FALSE
